task,category,split,a0_rate,a0_stratum,A0_passed,A0_total,A0_rate,B1_passed,B1_total,B1_rate,C21_passed,C21_total,C21_rate,C23_passed,C23_total,C23_rate,BL_LS_passed,BL_LS_total,BL_LS_rate,BL_LF_passed,BL_LF_total,BL_LF_rate,BL_LE_passed,BL_LE_total,BL_LE_rate
amc12_2001_p2,AMC,Valid,0.75,easy,6,8,0.75,6,8,0.75,6,8,0.75,8,8,1.0,7,8,0.875,7,8,0.875,7,8,0.875
amc12_2001_p21,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12_2001_p5,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12_2001_p9,AMC,Valid,1.0,easy,8,8,1.0,7,8,0.875,8,8,1.0,8,8,1.0,7,8,0.875,8,8,1.0,8,8,1.0
amc12a_2002_p1,AMC,Valid,0.375,sweet,3,8,0.375,8,8,1.0,8,8,1.0,6,8,0.75,8,8,1.0,8,8,1.0,5,8,0.625
amc12a_2002_p12,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,1,8,0.125,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2002_p13,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2002_p21,AMC,Valid,0.125,hard,1,8,0.125,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2002_p6,AMC,Test,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,7,8,0.875,8,8,1.0
amc12a_2003_p1,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2003_p23,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2003_p24,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2003_p25,AMC,Valid,0.25,hard,2,8,0.25,4,8,0.5,3,8,0.375,0,8,0.0,1,8,0.125,3,8,0.375,1,8,0.125
amc12a_2003_p5,AMC,Test,0.5,sweet,4,8,0.5,8,8,1.0,7,8,0.875,5,8,0.625,4,8,0.5,6,8,0.75,8,8,1.0
amc12a_2008_p15,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2008_p2,AMC,Valid,1.0,easy,8,8,1.0,8,8,1.0,7,8,0.875,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
amc12a_2008_p25,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2008_p4,AMC,Valid,0.125,hard,1,8,0.125,3,8,0.375,0,8,0.0,0,8,0.0,1,8,0.125,4,8,0.5,1,8,0.125
amc12a_2008_p8,AMC,Valid,0.0,impossible,0,8,0.0,2,8,0.25,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2009_p15,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2009_p2,AMC,Valid,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
amc12a_2009_p25,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2009_p5,AMC,Valid,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
amc12a_2009_p6,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2009_p7,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2009_p9,AMC,Valid,0.75,easy,6,8,0.75,5,8,0.625,8,8,1.0,7,8,0.875,6,8,0.75,7,8,0.875,7,8,0.875
amc12a_2010_p10,AMC,Valid,0.0,impossible,0,8,0.0,1,8,0.125,0,8,0.0,0,8,0.0,0,8,0.0,1,8,0.125,0,8,0.0
amc12a_2010_p11,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2010_p22,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2011_p18,AMC,Valid,0.25,hard,2,8,0.25,6,8,0.75,8,8,1.0,7,8,0.875,0,8,0.0,8,8,1.0,2,8,0.25
amc12a_2013_p4,AMC,Test,0.5,sweet,4,8,0.5,7,8,0.875,7,8,0.875,6,8,0.75,2,8,0.25,3,8,0.375,7,8,0.875
amc12a_2013_p7,AMC,Valid,0.5,sweet,4,8,0.5,2,8,0.25,5,8,0.625,8,8,1.0,1,8,0.125,6,8,0.75,1,8,0.125
amc12a_2013_p8,AMC,Valid,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,7,8,0.875,8,8,1.0
amc12a_2015_p10,AMC,Valid,0.75,easy,6,8,0.75,5,8,0.625,8,8,1.0,8,8,1.0,6,8,0.75,7,8,0.875,8,8,1.0
amc12a_2016_p2,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2016_p3,AMC,Valid,0.75,easy,6,8,0.75,8,8,1.0,6,8,0.75,4,8,0.5,3,8,0.375,6,8,0.75,6,8,0.75
amc12a_2017_p2,AMC,Valid,1.0,easy,8,8,1.0,7,8,0.875,7,8,0.875,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
amc12a_2017_p7,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,3,8,0.375,1,8,0.125
amc12a_2019_p12,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2019_p21,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2019_p9,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p10,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p13,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p15,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p21,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p25,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p4,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p7,AMC,Test,1.0,easy,8,8,1.0,1,8,0.125,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2020_p9,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2021_p12,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2021_p14,AMC,Test,0.0,impossible,0,8,0.0,1,8,0.125,6,8,0.75,1,8,0.125,5,8,0.625,2,8,0.25,3,8,0.375
amc12a_2021_p18,AMC,Test,0.625,easy,5,8,0.625,4,8,0.5,4,8,0.5,2,8,0.25,1,8,0.125,1,8,0.125,2,8,0.25
amc12a_2021_p19,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2021_p22,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2021_p25,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2021_p3,AMC,Test,0.25,hard,2,8,0.25,1,8,0.125,7,8,0.875,2,8,0.25,3,8,0.375,3,8,0.375,0,8,0.0
amc12a_2021_p7,AMC,Valid,0.875,easy,7,8,0.875,8,8,1.0,7,8,0.875,8,8,1.0,6,8,0.75,8,8,1.0,8,8,1.0
amc12a_2021_p8,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12a_2021_p9,AMC,Test,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,7,8,0.875
amc12b_2002_p11,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2002_p19,AMC,Test,0.25,hard,2,8,0.25,7,8,0.875,7,8,0.875,8,8,1.0,4,8,0.5,5,8,0.625,0,8,0.0
amc12b_2002_p2,AMC,Test,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,0,8,0.0,8,8,1.0,7,8,0.875
amc12b_2002_p3,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2002_p4,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2002_p6,AMC,Valid,1.0,easy,8,8,1.0,3,8,0.375,6,8,0.75,5,8,0.625,2,8,0.25,1,8,0.125,7,8,0.875
amc12b_2002_p7,AMC,Test,0.125,hard,1,8,0.125,2,8,0.25,2,8,0.25,1,8,0.125,5,8,0.625,4,8,0.5,0,8,0.0
amc12b_2003_p17,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2003_p6,AMC,Valid,1.0,easy,8,8,1.0,7,8,0.875,8,8,1.0,8,8,1.0,7,8,0.875,8,8,1.0,8,8,1.0
amc12b_2003_p9,AMC,Valid,1.0,easy,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
amc12b_2004_p3,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,3,8,0.375,2,8,0.25,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2020_p13,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2020_p2,AMC,Test,0.875,easy,7,8,0.875,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
amc12b_2020_p21,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2020_p22,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,1,8,0.125,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2020_p5,AMC,Valid,0.875,easy,7,8,0.875,7,8,0.875,8,8,1.0,8,8,1.0,5,8,0.625,7,8,0.875,6,8,0.75
amc12b_2020_p6,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2021_p1,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2021_p13,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2021_p18,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2021_p21,AMC,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2021_p3,AMC,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
amc12b_2021_p4,AMC,Test,0.875,easy,7,8,0.875,2,8,0.25,6,8,0.75,3,8,0.375,2,8,0.25,2,8,0.25,6,8,0.75
